ID,Plan Task,Sprint,Status,Owner,Dependencies,Primary Output,Verification,Notes
item-020,TASK-020,Sprint 3,verified,codex,item-010; item-002,Session transcript and runtime state UI,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented session screen projection transcript append order runtime states failure display and one-active-session guard
item-021,TASK-021,Sprint 3,verified,codex,item-014; item-019,Approval prompt UI,cargo test passed; npm test passed; native Tauri build passed,Implemented prompt projection for file writes batch writes shell destructive shell Git changes deny and policy block states
item-022,TASK-022,Sprint 3,verified,codex,item-012; item-020,Stop retry and restart recovery UX,cargo test passed; npm test passed; native Tauri build passed,Implemented stop controls retry-as-append restart recovery banners minimized-window messaging and pending approval discard policy
item-023,TASK-023,Sprint 3,verified,codex,item-006; item-019,Changed files and diff viewer,cargo test passed; npm test passed; native Tauri build passed,Implemented changed-file list diff view refresh projection and logged-not-gated Git inspection metadata
item-024,TASK-024,Sprint 3,verified,codex,item-002; item-019,Text-like artifact records and viewer,cargo test passed; npm test passed; native Tauri build passed,Implemented artifact metadata storage app-managed files passive text viewer provenance redaction and no search/export/rich rendering
item-025,TASK-025,Sprint 3,verified,codex,item-001 through item-024,MVP technical test suite,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Full automated local technical suite passes
item-026,TASK-026,Sprint 3,verified,codex,item-025,App-build and product QA gates,macOS arm64 local build and automated QA passed; Windows 11 x64 compatibility explicitly re-scoped out of public MVP release,Created validation report; release scope approved without Windows 11 x64 validation for this MVP
item-027,Sprint-4,Sprint 4,verified,codex,item-026,Stabilization and release prep,npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Documented run/build flow added dev-server root-route regression coverage recorded release checklist and verified gates
item-028,TASK-027,Sprint 6,verified,codex,item-020; item-025,Project session catalog foundation,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented project-scoped session catalog projection with latest marker and one-active-run guard
item-029,TASK-028,Sprint 6,verified,codex,item-028; item-020,Project-scoped session selection,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented selected-session ownership checks missing-session failure cross-project rejection and latest-session fallback
item-030,TASK-029,Sprint 7,verified,codex,item-028,Session rename pin and archive foundation,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented session metadata migration rename pin and archive APIs while deferring hard delete
item-031,TASK-030,Sprint 8,verified,codex,item-006; item-025,Project selector state foundation,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented registered-project list selected-project persistence and project-management exclusions
item-032,TASK-031,Sprint 9,verified,codex,item-028; item-029; item-031,V1 worktree lifecycle scope,planning decision verified,Worktree creation and cleanup deferred beyond current V1; roadmap decisions readiness gaps and Git acceptance updated
item-033,TASK-032,Sprint 10,verified,codex,item-031; item-032,Project selector status surface,npm test passed; npm run build passed; npm run tauri -- build passed; cargo test passed,Exposed project selector capability state and postponed project-management exclusions in app status
item-034,TASK-033,Sprint 11,verified,codex,item-011; item-033,V1 nested AGENTS resolution scope,cargo test instruction_preflight passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Implemented ordered display-guidance tier for root and nested AGENTS.md with no permission or automatic model-context effect
item-035,TASK-034,Sprint 12,verified,codex,item-034,V1 Agent Skills discovery and invocation scope,planning review and user acceptance,Explicit discovery/invocation-only tier accepted on 2026-06-12
item-036,TASK-035,Sprint 13,verified,codex,item-035,Explicit project-local skill discovery and invocation,cargo skills test passed; explicit session context test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Implemented accepted explicit-only project-local Agent Skills support
item-037,TASK-036,Sprint 14,verified,codex,item-036,V1 local stdio MCP scope,planning review and user acceptance,Local-stdio explicit-approval-only tier accepted on 2026-06-12
item-038,TASK-037,Sprint 15,verified,codex,item-037,Local stdio MCP explicit approval surface,cargo mcp test passed; targeted JS tests passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Implemented explicit local stdio MCP registration and approval-gated launch proposals without remote MCP auto-start or automatic context paths
item-039,TASK-038,Sprint 16,verified,codex,item-038,V1 rich artifact preview scope,user accepted raster_image_preview_only,Accepted passive local raster image preview tier
item-040,TASK-039,Sprint 17,verified,codex,item-039,Passive raster image artifact previews,cargo artifact test passed; targeted JS test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Implemented passive PNG JPEG WebP GIF artifact previews without SVG HTML browser export search OCR image analysis or automatic model-context paths
item-041,TASK-040,Sprint 18,verified,codex,item-040,V1 project JSON export with import deferred,cargo export test passed; targeted JS test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Implemented project_json_export_only with import deferred no round-trip claim no raw secrets no raw shell stdout stderr no absolute local paths and no artifact payloads
item-042,TASK-041,Sprint 19,verified,codex,item-030; item-041,V1 retention and session delete scope,user accepted archived_session_delete_only,Accepted archived_session_delete_only and created follow-on implementation item
item-043,TASK-042,Sprint 20,verified,codex,item-042,Archived session delete,cargo archived_session passed; cargo deletes_archived_unpinned_session_records_only passed; targeted JS test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Implemented archived_session_delete_only with protected active latest running pending approval and pinned sessions app-managed artifact cleanup and no automatic cleanup quotas memory import or round-trip compatibility
item-044,TASK-043,Sprint 21,verified,codex,item-043,V1 long-term memory scope,user accepted no_durable_memory_v1,Accepted no_durable_memory_v1 with no cross-session memory learned preferences automatic summaries embeddings memory write prompts or memory inspect edit delete UI
item-045,TASK-044,Sprint 22,verified,codex,item-035; item-037; item-039; item-041; item-044,V1 broader compatibility claims scope,cargo compatibility status test passed; targeted JS test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Accepted no_broader_compatibility_claims_v1 to keep V1 claims narrow and feature-level without full AGENTS Skills MCP Codex plugin OpenCode config import round-trip browser or durable-memory compatibility claims
item-046,TASK-045,Sprint 23,verified,codex,item-004; item-005; item-045,V1 provider expansion scope,cargo provider expansion status test passed; targeted JS test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Accepted openrouter_only_v1_no_direct_or_local_provider_expansion to keep V1 OpenRouter-only without direct provider local model offline fallback provider fallback automatic switching BYOK subconfiguration or multi-provider settings
item-047,TASK-046,Sprint 24,verified,codex,item-040; item-045; item-046,V1 browser and web-viewing scope,cargo browser web status test passed; targeted JS test passed; npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Accepted no_browser_or_web_viewing_v1 to keep browser panels remote URLs DOM extraction screenshots browser automation browser testing Chromium rendering active HTML execution and browser-content model-context ingestion deferred
item-048,TASK-047,Sprint 25,verified,codex,item-036; item-038; item-045; item-047,V1 plugin and marketplace scope,cargo test passed; npm test passed; web build passed; native Tauri build passed,Accepted no_plugin_or_marketplace_v1 and exposed app status showing plugin install enable execution scripts hooks permissions trusted assets plugin-provided MCP marketplace browsing remote manifests search install updates ratings reviews advisories and curation deferred
item-049,TASK-000,Post-V1 Roadmap,verified,codex,item-048,Post-V1 standards refresh,records and indexes reviewed,Shallow dated standards refresh complete; next recommended action is a TASK-001 feature spec for research writing documentation and analysis workflows
item-050,TASK-006,General Workspace Foundation,verified,codex,item-049,Foundation brownfield data-model review,records and indexes reviewed,Workflow labels should be nullable bounded metadata on projects and sessions with safe export metadata and no model-context effect
item-051,TASK-001; TASK-005,General Workspace Foundation,verified,codex,item-050,Foundation workflow examples and home shape,records and indexes reviewed,Workflow examples home shape and status copy boundary defined; feature spec ready to freeze
item-052,Freeze,General Workspace Foundation,verified,codex,item-051,Freeze general workspace foundation spec,records and indexes reviewed,Frozen packets item-053 through item-057 preserve accepted foundation scope and deferred boundaries
item-053,Foundation-001,General Workspace Foundation,verified,codex,item-052,Foundation workflow label data model and status,cargo test passed; npm test passed; npm run build passed,Workflow-purpose schema storage export and status support implemented without model-context effect
item-054,Foundation-002,General Workspace Foundation,verified,codex,item-053,Foundation project navigation search and workflow filtering,cargo project_selector tests passed; cargo test passed; npm test passed; npm run build passed,Project selector search and workflow-purpose filtering implemented without changing selected project implicitly or promoting deferred controls
item-055,Foundation-003,General Workspace Foundation,verified,codex,item-053,Foundation session navigation search filtering and grouping,cargo session_catalog tests passed; cargo archived-session delete tests passed; cargo test passed; npm test passed; npm run build passed,Selected-project session search/filtering and workflow-purpose grouping implemented without concurrent active sessions or cross-project content search
item-056,Foundation-004,General Workspace Foundation,verified,codex,item-053; item-054; item-055,Foundation workspace overview UI and status copy,ui-state tests passed; backend status tests passed; npm test passed; cargo test passed; npm run build passed; browser smoke passed,Work-focused overview and capability-level status copy implemented without hidden context or deferred-scope claims
item-057,Foundation-005,General Workspace Foundation,verified,codex,item-053; item-054; item-055; item-056,Foundation verification and release gate,cargo test passed; npm test passed; npm run build passed; npm run tauri -- build passed; browser smoke passed; scope audit passed,Accepted foundation slice verified with deferred-scope boundaries intact
